DeploymentID,StudyAreaID,LocationID,Ownership,UTM_E,UTM_N,UTM_Zone,UTM_Datum,StartDate,EndDate,TimeOfDay,DominantSubstrate,TrailType,PositionOnSlope,HabitatRuggedness,TopographicFeature,VegetationType,RangelandUse,HumanVisitation,DistanceToHumanHabitat,HumanHabitatType,DistanceToRoad,RoadType,Azimuth,Notes
1,2,EVS1,,,,,,,,,,,,,,,,,,,,,,
2,2,EVS2,,,,,,,,,,,,,,,,,,,,,,
3,2,VL1,,,,,,,,,,,,,,,,,,,,,,
4,2,VL2,,,,,,,,,,,,,,,,,,,,,,
5,2,PL1,,,,,,,,,,,,,,,,,,,,,,
6,2,PL2,,,,,,,,,,,,,,,,,,,,,,
7,2,DR1,,,,,,,,,,,,,,,,,,,,,,
8,2,DR2,,,,,,,,,,,,,,,,,,,,,,
9,2,Ladle Springs A,,,,,,,,,,,,,,,,,,,,,,
10,2,Ladle Springs B,,,,,,,,,,,,,,,,,,,,,,
11,2,Plum Drainage,,,,,,,,,,,,,,,,,,,,,,
12,2,Cabin,,,,,,,,,,,,,,,,,,,,,,
13,2,Ladle Springs C,,,,,,,,,,,,,,,,,,,,,,
